image,taxonomy,tp_px,fp_px,fn_px,iou,dice_f1,precision,recall,split
GPAB6469_jpg.rf.804de9a3f3b0bcff6cafd0268423db33.jpg,lcc,130922,166289,10915,0.4248976068231827,0.5963903718955559,0.44050186567791905,0.9230454676847367,train
GPAB6581_jpg.rf.0e33f8c4bc7b403d776dbb15f4bb9251.jpg,lcc,355039,76697,8013,0.8073673845762014,0.893418119045582,0.822352085533752,0.977928781551954,train
GPAB6582_jpg.rf.a166616a1043774d17060f56687c0471.jpg,lcc,290957,146021,40531,0.6093225468001651,0.7572410490509665,0.6658390124903313,0.8777301139106092,train
GPAB6583_jpg.rf.226622e1572d169e84459d33d4b242e9.jpg,lcc,160887,210356,8258,0.423943546920825,0.5954499359719313,0.4333738279240282,0.9511779833870347,train
GPAB6584_jpg.rf.bf60090261c1ac131e8b94b020257a0e.jpg,lcc,309104,141556,28605,0.6449542528663683,0.7841607166187408,0.6858918031331824,0.9152968976248782,train
GPAB6596_jpg.rf.2ff0ce0a9390ffcde484219f10b26580.jpg,lcc,175012,173372,20119,0.4749269341090846,0.6440006255577123,0.5023537246257004,0.8968949064987112,train
GPAB6643_jpg.rf.d790114b6394a3a5aa132aa793ce2dbc.jpg,lcc,259130,149641,38916,0.5788195770705873,0.7332308079743413,0.633924617940118,0.8694295511431122,train
GPAB6646_jpg.rf.49fc6a67b97d38d25bea008e6f33d9f7.jpg,lcc,289099,150251,30307,0.6155534783895481,0.762034171723189,0.6580152498008421,0.9051144937790774,train
GPAB6647_jpg.rf.ed1c984301bcc115058546f7d8048b07.jpg,lcc,140659,345265,40604,0.26714438738300716,0.4216479038110755,0.2894670771560985,0.7759939976718911,train
GPAB6648_jpg.rf.c56ce6da35aa5d7bf1816fcefeee13f5.jpg,lcc,561010,98692,4123,0.8451173125447219,0.9160580812925823,0.8503991196024872,0.9927043722451175,train
GPAB6649_jpg.rf.47c706dd93e009a16e5bedc5215042d9.jpg,lcc,351576,137683,68091,0.6307993182022069,0.7736075324063785,0.7185887229463331,0.8377499303018822,train
GPAB6650_jpg.rf.d42500ecead8b3cfa4dd6cdbd03046bd.jpg,lcc,407703,70541,48758,0.7736270450586525,0.8723672174643337,0.8524999790901715,0.8931825500973796,train
GPAB6651_jpg.rf.b6a9a159f89e82d53644c3a73ebaa154.jpg,lcc,343801,208485,88002,0.5369474361537309,0.69871932315065,0.6225053685952568,0.7961987295132271,train
GPAB6652_jpg.rf.3746e0c1af503c85d382a9d829f4713a.jpg,lcc,452351,86926,9442,0.8243764112414551,0.9037350035462055,0.8388101105739721,0.9795536095176843,train
GPAB6653_jpg.rf.6462868b079303442dc200bdaa83cf5b.jpg,lcc,267417,106025,28803,0.6648112468769034,0.7986626088982203,0.7160871032181704,0.9027648369455135,train
GPAB6654_jpg.rf.c041357eb333cbca4f87f2517eb356e9.jpg,lcc,460724,114147,83825,0.6994486075518904,0.8231477014882708,0.8014389315168099,0.8460652760357654,train
GPAB6655_jpg.rf.fb96f38ea0bf68f9bcb15a2ea4533c20.jpg,lcc,70638,207820,6520,0.24787176553979606,0.39727121389363806,0.25367559919269694,0.9154980688975868,train
GPAB6656_jpg.rf.5d4becc71a2154b3949645d8d64ed72e.jpg,lcc,426380,126489,43646,0.7147850431254872,0.8336730553966927,0.7712134339237685,0.9071413070766298,train
GPAB6657_jpg.rf.8e09ed048fbf8afdda873ac2b2f11aff.jpg,lcc,410963,144683,37648,0.6926801889113997,0.8184418928620861,0.7396129910050644,0.916078740824456,train
GPAB6658_jpg.rf.f6047019a05b50a74f0bc478b9487e2e.jpg,lcc,114722,85937,12912,0.5371609441356738,0.6989000679271261,0.5717261622952372,0.8988357334252629,train
GPAB6659_jpg.rf.709b4d7ed4800dd29cbf1c81b90dd9e0.jpg,lcc,44514,162721,4507,0.2102275410641252,0.3474182067932068,0.21479962361570198,0.9080598111013647,train
